hola, hello
casa, house
coche, car
computadora, computer
libro, book
perro, dog
gato, cat
mesa, table
silla, chair
teléfono, phone
televisión, television
ropa, clothes
comida, food
agua, water
aire, air
tierra, earth
fuego, fire
viento, wind
mar, sea
ciudad, city
país, country
persona, person
amigo, friend
familia, family
trabajo, work
dinero, money
tiempo, time
vida, life
amor, love
odio, hate
feliz, happy
triste, sad
enojado, angry
asustado, scared
emocionado, excited
aburrido, bored
interesante, interesting
divertido, fun
difícil, difficult
fácil, easy
grande, big
pequeño, small
nuevo, new
viejo, old
alto, tall
bajo, short
fuerte, strong
débil, weak
bello, beautiful
feo, ugly
rojo,red
